title,link,text
"Guvernare turistică: Membrii Asociaţiei Comunelor din România fac „sesiuni de lucru” în Deltă, la 5 stele",https://www.ebihoreanul.ro/stiri/guvernare-turistica-membrii-asociatiei-comunelor-din-romania-fac-sesiuni-de-lucru-in-delta-la-5-stele-197233.html,
"Profesorul din Curtuișeni care a violat o elevă chiar în școală, Andrei Marozsan, a fost trimis în judecată şi rămâne în arest",https://www.ebihoreanul.ro/stiri/profesorul-din-curtuiseni-care-a-violat-o-eleva-chiar-in-scoala-andrei-marozsan-a-fost-trimis-in-judecata-si-ramane-in-arest-197186.html,
"Universitatea din Oradea a inaugurat Centrul de Transfer Tehnologic. Bolojan, printre primii vizitatori (FOTO)",https://www.ebihoreanul.ro/stiri/universitatea-din-oradea-a-inaugurat-centrul-de-transfer-tehnologic-bolojan-printre-primii-vizitatori-197188.html,
"Cupa de minibaschet UP & DOWN, sâmbătă, la Arena Antonio Alexe",https://www.ebihoreanul.ro/stiri/cupa-de-minibaschet-up-down-sambata-la-arena-antonio-alexe-197180.html,
"Bihorenii sunt invitați să nominalizeze oamenii și faptele bune ale anului, la „Gala Comunității Bihorene”",https://www.ebihoreanul.ro/stiri/bihorenii-sunt-invitati-sa-nominalizeze-oamenii-si-faptele-bune-ale-anului-la-gala-comunitatii-bihorene-197190.html,
Debut cu dreptul pentru CSM CSU Raiffeisen Oradea în noua ediţie a FIBA Europe Cup (FOTO),https://www.ebihoreanul.ro/stiri/debut-cu-dreptul-pentru-csm-csu-raiffeisen-oradea-in-noua-editie-a-fiba-europe-cup-197191.html,
VIP-uri fără frică: Soții Cioflan continuă să facă lucrări neautorizate și îi amenință pe vecini (FOTO),https://www.ebihoreanul.ro/stiri/vip-uri-fara-frica-sotii-cioflan-continua-sa-faca-lucrari-neautorizate-si-ii-ameninta-pe-vecini-197187.html,
"112, nu deranjați! A avertizat că e un pericol în drum, dar s-a trezit amendat de Poliție",https://www.ebihoreanul.ro/stiri/112-nu-deranjati-a-avertizat-ca-e-un-pericol-in-drum-dar-s-a-trezit-amendat-de-politie-197189.html,
"Biblioteca Judeţeană din Oradea, un magnet pentru cititori în prima lună de la redeschidere",https://www.ebihoreanul.ro/stiri/biblioteca-judeteana-din-oradea-un-magnet-pentru-cititori-in-prima-luna-de-la-redeschidere-197095.html,
"CSM Oradea a cedat cu 19-11 jocul de la Budapesta, cu deţinătoarea trofeului Ligii Campionilor Europeni la polo",https://www.ebihoreanul.ro/stiri/csm-oradea-a-cedat-cu-19-11-jocul-de-la-budapesta-cu-detinatoarea-trofeului-ligii-campionilor-europeni-la-polo-197192.html,
"Percheziții DNA la Spitalul Militar din București. Printre cei vizați se numără generalul Florentina Ioniță, care conduce spitalul",https://www.ebihoreanul.ro/stiri/perchezitii-dna-la-spitalul-militar-din-bucuresti-printre-cei-vizati-se-numara-generalul-florentina-ionita-care-conduce-spitalul-197194.html,
"CAS Bihor își modifică programul de lucru: pentru ca asigurații să poată fi deserviți și după-amiaza, orarul este extins o zi pe săptămână",https://www.ebihoreanul.ro/stiri/cas-bihor-isi-modifica-programul-de-lucru-pentru-ca-asiguratii-sa-poata-fi-deserviti-si-dupa-amiaza-orarul-este-extins-o-zi-pe-saptamana-197193.html,
"De la baroc la modern: recital de violoncel al lui Jan Sekaci, la Muzeul Țării Crișurilor",https://www.ebihoreanul.ro/stiri/de-la-baroc-la-modern-recital-de-violoncel-al-lui-jan-sekaci-la-muzeul-tarii-crisurilor-197195.html,
"Copii de la două grădinițe din Oradea au ajuns la medic, cu simptome de enterocolită. Părinții au suspectat firma de catering, autoritățile spun că mâncarea n-a avut probleme",https://www.ebihoreanul.ro/stiri/copii-de-la-doua-gradinite-din-oradea-au-ajuns-la-medic-cu-simptome-de-enterocolita-parintii-au-suspectat-firma-de-catering-autoritatile-spun-ca-mancarea-n-a-avut-probleme-197196.html,
Şofer de Audi arestat la Beiuş pentru conducere fără permis. În ultimii ani a strâns 6 dosare pentru aceeaşi infracţiune!,https://www.ebihoreanul.ro/stiri/sofer-de-audi-arestat-la-beius-pentru-conducere-fara-permis-in-ultimii-anui-a-strans-6-dosare-pentru-aceeasi-infractiune-197197.html,
"ANI ia bătaie! Un fost primar din Bihor, acuzat că și-ar fi favorizat soția, a câștigat definitiv procesul intentat instituției: „Mi s-au adus grave prejudicii de imagine”",https://www.ebihoreanul.ro/stiri/ani-ia-bataie-un-fost-primar-din-bihor-acuzat-ca-si-ar-fi-favorizat-sotia-a-castigat-definitiv-procesul-intentat-institutiei-mi-s-au-adus-grave-prejudicii-de-imagine-197198.html,
"Doi tineri din Bihor, băuți şi fără permis, au furat o maşină şi au ajuns cu ea în şanţ. Unul era şi drogat",https://www.ebihoreanul.ro/stiri/doi-tineri-din-bihor-bauti-si-fara-permis-au-furat-o-masina-si-au-ajuns-cu-ea-in-sant-unul-era-si-drogat-197201.html,
"Sora fostei ministre Carmen Dan, vizată într-un dosar de înșelăciune de 1,3 milioane de euro, cu apartamente și mașini. S-ar fi folosit și de numele surorii sale (VIDEO)",https://www.ebihoreanul.ro/stiri/sora-fostului-ministru-carmen-dan-vizata-intr-un-dosar-de-inselaciune-de-13-milioane-de-euro-197204.html,
Una dintre grădinițele din Oradea în care mai mulți copii s-au îmbolnăvit a sistat contractul cu firma de catering. Directorul așteaptă concluziile medicilor,https://www.ebihoreanul.ro/stiri/una-dintre-gradinitele-din-oradea-in-care-mai-multi-copii-s-au-imbolnavit-a-sistat-contractul-cu-firma-de-catering-directorul-asteapta-concluziile-medicilor-197200.html,
"Viitorul, acum! Sintezis România a lansat la Oradea ecosistemul de soluţii digitale integrate pentru contabili Nexus Media (FOTO)",https://www.ebihoreanul.ro/stiri/viitorul-acum-sintezis-romania-a-lansat-la-oradea-ecosistemul-de-solutii-digitale-integrate-pentru-contabili-nexus-media-foto-197199.html,
"Galeria de sticlă NOCA, din centrul Oradiei, se deschide vineri pentru public: „Arta va avea o casă de care avem nevoie” (FOTO/VIDEO)",https://www.ebihoreanul.ro/stiri/galeria-de-sticla-noca-din-centrul-oradiei-se-deschide-vineri-pentru-public-arta-va-avea-o-casa-de-care-avem-nevoie-197202.html,
"Ignorați de Guvern, premiați de școală: Olimpicii Colegiului Emanuil Gojdu, recompensați pentru rezultatele obținute în anul școlar trecut (FOTO)",https://www.ebihoreanul.ro/stiri/ignorati-de-guvern-premiati-de-scoala-olimpicii-colegiului-emanuil-gojdu-recompensati-pentru-rezultatele-obtinute-in-anul-scolar-trecut-197205.html,
"Spre finalizare: a început asfaltarea pasajului pe DN 1 din Oșorhei, care urmează să fie deschis circulației la începutul lunii viitoare (FOTO)",https://www.ebihoreanul.ro/stiri/spre-finalizare-a-inceput-asfaltarea-pasajului-pe-dn-1-din-osorhei-care-urmeaza-sa-fie-deschis-circulatiei-la-inceputul-lunii-viitoare-foto-197203.html,
"FC Bihor va juca duminică la Slatina, într-un meci ce va fi televizat",https://www.ebihoreanul.ro/stiri/fc-bihor-va-juca-duminica-la-slatina-intr-un-meci-ce-va-fi-televizat-197207.html,
"Capcana Remi: Momiți să joace câteva partide de remi pe bani, trei bărbați au fost bătuți crunt și jefuiți",https://www.ebihoreanul.ro/stiri/capcana-remi-momiti-sa-joace-cateva-partide-de-remi-pe-bani-trei-barbati-au-fost-batuti-crunt-si-jefuiti-197209.html,
"Penny cu penny: Pe rafturile magazinului e afișat un preț, la casă ești taxat cu altul!",https://www.ebihoreanul.ro/stiri/penny-cu-penny-pe-rafturile-magazinului-e-afisat-un-pret-la-casa-esti-taxat-cu-altul-197210.html,
